,Country/Region,11/14/22,11/15/22,11/16/22,11/17/22,11/18/22,11/19/22,11/20/22
88,China,1475,1481,1481,1486,1490,1493,1495
89,China,861625,877396,915345,915345,937229,979901,1003837
90,China,2179,2237,2237,2263,2290,2320,2340
91,China,2905,2927,2977,3010,3063,3114,3152
92,China,3676,3688,3688,3707,3723,3754,3779
93,Colombia,6311359,6311359,6311359,6312657,6312657,6312657,6312657
94,Comoros,8925,8925,8925,8925,8941,8941,8941
95,Congo (Brazzaville),24837,24837,25074,25375,25375,25375,25375
96,Congo (Kinshasa),93467,93467,93467,93467,93837,93837,93837
97,Costa Rica,1140864,1140864,1140864,1140864,1143597,1143597,1143597
98,Cote d'Ivoire,87860,87860,87864,87864,87864,87870,87870
99,Croatia,1250131,1250299,1250699,1250968,1251199,1251225,1251415
100,Cuba,1111328,1111330,1111332,1111333,1111335,1111337,1111338
101,Cyprus,606287,606287,606287,606287,610023,610023,610023
102,Czechia,4165319,4166116,4166741,4167299,4167377,4167817,4167937
103,Denmark,34658,34658,34658,34658,34658,34658,34658
104,Denmark,11971,11971,11971,11971,11971,11971,11971
105,Denmark,3343173,3343859,3344521,3345095,3345583,3345583,3345583
106,Diamond Princess,712,712,712,712,712,712,712
107,Djibouti,15690,15690,15690,15690,15690,15690,15690
108,Dominica,15760,15760,15760,15760,15760,15760,15760
109,Dominican Republic,647868,647868,647868,647868,647868,647868,647868
110,Ecuador,1009388,1009388,1009388,1009388,1009388,1009388,1009388
111,Egypt,515645,515645,515645,515645,515645,515645,515645
112,El Salvador,201785,201785,201785,201785,201785,201785,201785
113,Equatorial Guinea,17182,17182,17182,17182,17182,17182,17182
114,Eritrea,10189,10189,10189,10189,10189,10189,10189
115,Estonia,607844,608332,608332,608332,608332,608332,608332
116,Eswatini,73708,73708,73708,73708,73708,73708,73770
117,Ethiopia,494202,494217,494240,494270,494285,494300,494314
118,Fiji,68287,68287,68287,68307,68307,68307,68307
119,Finland,1372651,1372651,1372651,1384654,1384654,1384654,1384654
120,France,94309,94421,94421,94421,94421,94421,94421
121,France,76797,76827,76827,76827,76827,76827,76827
122,France,196270,197105,197105,197105,197105,197105,197105
123,France,223728,223877,223877,223877,223877,223877,223877
124,France,40415,40415,40415,40612,40612,40612,40612
125,France,74577,74682,74818,74818,74818,74818,74818
126,France,478855,478855,478855,478855,479430,479430,479430
127,France,5323,5336,5336,5336,5336,5336,5336
128,France,3231,3231,3233,3233,3233,3233,3233
129,France,12026,12034,12034,12034,12034,12034,12034
130,France,3415,3415,3415,3415,3415,3415,3415
131,France,36145223,36193559,36227341,36260475,36297077,36297077,36297077
132,Gabon,48945,48945,48959,48959,48972,48972,48972
133,Gambia,12580,12580,12580,12580,12580,12580,12580
134,Georgia,1785138,1785138,1785138,1785138,1785138,1785138,1785138
135,Germany,36080574,36119184,36152490,36180077,36205405,36205405,36205405
136,Ghana,170972,170972,170972,170972,170972,170972,170996
137,Greece,5250288,5306482,5306482,5306482,5306482,5306482,5306482
138,Grenada,19613,19613,19613,19616,19616,19616,19616
139,Guatemala,1145496,1146055,1146536,1147070,1147699,1148253,1148436
140,Guinea,38122,38153,38153,38153,38153,38153,38153
141,Guinea-Bissau,8848,8848,8848,8848,8848,8848,8848
142,Guyana,71471,71488,71499,71520,71522,71536,71541
143,Haiti,33832,33832,33832,33837,33837,33837,33837
144,Holy See,29,29,29,29,29,29,29
145,Honduras,457406,457459,457459,457459,457508,457508,457508
146,Hungary,2153564,2153564,2157995,2157995,2157995,2157995,2157995
147,Iceland,206803,206803,206803,206803,206803,206803,206803
148,India,44667390,44667900,44668535,44667967,44669748,44670240,44670646
149,Indonesia,6565912,6573805,6582291,6590113,6596812,6603195,6608367
150,Iran,7559001,7559055,7559055,7559164,7559211,7559258,7559296
151,Iraq,2462317,2462317,2462317,2462317,2462317,2462317,2462317
152,Ireland,1675723,1675723,1677386,1677386,1677386,1677386,1677386
153,Israel,4697694,4699220,4700690,4701936,4704009,4704773,4705778
154,Italy,23823192,23823192,23823192,23823192,24031538,24031538,24031538
155,Jamaica,152306,152381,152381,152381,152381,152381,152381
156,Japan,23241410,23341236,23448938,23540544,23626318,23716205,23793927
157,Jordan,1746997,1746997,1746997,1746997,1746997,1746997,1746997
158,Kazakhstan,1485635,1485635,1485635,1485635,1485635,1485635,1485635
159,Kenya,340431,340600,340690,340784,340888,340975,341030
160,Kiribati,3430,3430,3430,3430,3430,3430,3430
161,"Korea, North",1,1,1,1,1,1,1
162,"Korea, South",26290877,26357464,26412901,26462319,26512754,26558765,26581856
163,Kosovo,272195,272195,272195,272195,272196,272197,272197
164,Kuwait,662510,662510,662510,662510,662510,662510,662510
165,Kyrgyzstan,206483,206483,206483,206483,206483,206483,206483
166,Laos,216381,216397,216431,216444,216460,216460,216468
167,Latvia,957510,958064,958569,959019,959019,959019,959019
168,Lebanon,1219608,1219677,1219834,1219834,1219928,1219993,1220043
169,Lesotho,34490,34490,34490,34490,34490,34490,34490
170,Liberia,7998,8014,8014,8014,8014,8014,8014
171,Libya,507060,507070,507070,507070,507070,507070,507070
172,Liechtenstein,20765,20779,20796,20798,20815,20815,20815
173,Lithuania,1271502,1271987,1272269,1272547,1272774,1273009,1273036
174,Luxembourg,304151,304377,304556,304770,304962,304962,304962
175,MS Zaandam,9,9,9,9,9,9,9
176,Madagascar,66859,66859,66859,66859,66859,66859,67054
177,Malawi,88073,88073,88073,88073,88073,88073,88073
178,Malaysia,4950566,4953418,4956722,4960179,4963216,4965666,4967299
179,Maldives,185549,185549,185549,185549,185549,185549,185549
180,Mali,32745,32749,32750,32750,32755,32755,32755
181,Malta,115608,115629,115641,115660,115673,115681,115695
182,Marshall Islands,15389,15389,15389,15389,15389,15501,15501
183,Mauritania,63414,63414,63414,63414,63417,63418,63419
184,Mauritius,268397,268397,268397,268397,268397,268397,268397
185,Mexico,7118933,7118933,7118933,7118933,7118933,7118933,7118933
186,Micronesia,22203,22203,22203,22203,22203,22203,22203
187,Moldova,594163,594441,594441,594441,594441,594441,594441
188,Monaco,15112,15137,15137,15165,15195,15195,15195
189,Mongolia,988054,988054,988303,988879,989320,989320,989320
190,Montenegro,283343,283383,283410,283443,283468,283488,283500
191,Morocco,1266639,1266788,1266917,1267039,1267177,1267266,1267315
192,Mozambique,230543,230543,230543,230543,230543,230543,230543
193,Namibia,169946,169946,169946,169946,169946,169946,169946
194,Nauru,4618,4618,4618,4618,4618,4618,4618
195,Nepal,1000814,1000826,1000834,1000838,1000846,1000849,1000851
196,Netherlands,43423,43423,43494,43494,43494,43494,43494
197,Netherlands,11490,11490,11516,11516,11516,11516,11516
198,Netherlands,45507,45507,45536,45536,45536,45536,45536
199,Netherlands,10931,10931,10943,10943,10943,10943,10943
200,Netherlands,8528384,8531316,8531316,8531316,8534013,8534013,8534013
201,New Zealand,6389,6389,6389,6389,6389,6389,6389
202,New Zealand,87,87,92,93,97,98,100
203,New Zealand,1894029,1894029,1894029,1894029,1894029,1894029,1918070
204,Nicaragua,15203,15203,15219,15219,15219,15219,15219
205,Niger,9430,9430,9430,9430,9430,9430,9430
206,Nigeria,266242,266242,266242,266242,266242,266283,266283
207,North Macedonia,344342,344342,344342,344531,344531,344531,344531
208,Norway,1466725,1466855,1466962,1467160,1467328,1467402,1467455
209,Oman,399027,399027,399027,399027,399027,399027,399027
210,Pakistan,1574711,1574743,1574800,1574825,1574825,1574825,1574913
211,Palau,5572,5572,5572,5572,5684,5684,5684
212,Panama,992623,992623,992623,992623,992623,992623,992623
213,Papua New Guinea,45773,45773,45773,45819,45819,45819,45819
214,Paraguay,718049,718049,718049,718049,718071,718071,718071
215,Peru,4171185,4175383,4177786,4180834,4184191,4184191,4184191
216,Philippines,4019163,4020240,4020965,4022127,4023798,4024956,4025917
217,Poland,6346397,6347085,6347590,6348022,6348380,6348771,6348842
218,Portugal,5532964,5532964,5532964,5532964,5537108,5537108,5537108
219,Qatar,474111,474473,474883,475199,475479,475626,475897
220,Romania,3291986,3292476,3292905,3293346,3293742,3294065,3294232
221,Russia,21198961,21203361,21208695,21214339,21219827,21225214,21230367
222,Rwanda,132643,132643,132643,132643,132643,132643,132643
223,Saint Kitts and Nevis,6552,6552,6552,6552,6552,6552,6552
224,Saint Lucia,29676,29676,29676,29692,29692,29692,29692
225,Saint Vincent and the Grenadines,9459,9462,9462,9462,9462,9462,9462
226,Samoa,15949,15949,15949,15949,15949,15949,15949
227,San Marino,21798,21798,21798,21798,21798,21798,21798
228,Sao Tome and Principe,6275,6275,6275,6275,6275,6275,6275
229,Saudi Arabia,824640,824747,824834,824917,824984,825029,825087
230,Senegal,88832,88842,88842,88842,88842,88842,88842
231,Serbia,2413933,2414734,2415439,2416113,2416771,2416771,2416771
232,Seychelles,49380,49380,49380,49380,49380,49380,49380
233,Sierra Leone,7758,7758,7758,7758,7758,7758,7758
234,Singapore,2141411,2144522,2146706,2148794,2150702,2152368,2153535
235,Slovakia,2646893,2647233,2647488,2647741,2647809,2647985,2648095
236,Slovenia,1242573,1243778,1244721,1245626,1246440,1247372,1247664
237,Solomon Islands,21563,21884,21884,21884,24575,24575,24575
238,Somalia,27254,27254,27254,27254,27254,27254,27254
239,South Africa,4034343,4035522,4036165,4036623,4037221,4037221,4037221
240,South Sudan,18339,18339,18339,18339,18339,18339,18339
241,Spain,13551539,13551539,13551539,13551539,13573721,13573721,13573721
242,Sri Lanka,671431,671455,671465,671481,671497,671497,671522
243,Sudan,63595,63595,63595,63595,63595,63595,63595
244,Summer Olympics 2020,865,865,865,865,865,865,865
245,Suriname,81228,81228,81228,81228,81228,81228,81228
246,Sweden,2618688,2618688,2618688,2622790,2622790,2622790,2622790
247,Switzerland,4276848,4297635,4297635,4297635,4297635,4297635,4297635
248,Syria,57382,57383,57384,57385,57386,57386,57386
249,Taiwan*,8050901,8069442,8092118,8112234,8130231,8146790,8163008
250,Tajikistan,17786,17786,17786,17786,17786,17786,17786
251,Tanzania,40152,40311,40311,40311,40311,40311,40311
252,Thailand,4698373,4698373,4698373,4698373,4698373,4698373,4698373
253,Timor-Leste,23315,23317,23318,23320,23323,23323,23323
254,Togo,39320,39320,39321,39321,39321,39321,39323
255,Tonga,16182,16182,16182,16182,16182,16182,16182
256,Trinidad and Tobago,184949,185094,185094,185094,185094,185094,185094
257,Tunisia,1146702,1146799,1146799,1146799,1146799,1146799,1146799
258,Turkey,16919638,16919638,16919638,16919638,16919638,16919638,16919638
259,Tuvalu,1259,1259,1532,1555,2019,2019,2019
260,US,98052609,98110827,98194133,98246749,98301472,98305722,98308990
261,Uganda,169581,169663,169663,169663,169663,169663,169663
262,Ukraine,5627788,5627819,5635182,5635218,5635276,5635334,5635398
263,United Arab Emirates,1041227,1041421,1041874,1041874,1042099,1042340,1042573
264,United Kingdom,3904,3904,3904,3904,3904,3904,3904
265,United Kingdom,18428,18428,18463,18463,18463,18463,18463
266,United Kingdom,7305,7305,7305,7305,7305,7305,7305
267,United Kingdom,31194,31194,31194,31194,31194,31194,31194
268,United Kingdom,0,0,0,0,0,0,0
269,United Kingdom,1930,1930,1930,1930,1930,1930,1930
270,United Kingdom,20166,20166,20166,20166,20184,20184,20184
271,United Kingdom,32562,32562,32666,32666,32666,32666,32666
272,United Kingdom,38008,38008,38008,38008,38008,38008,38008
273,United Kingdom,62317,62317,62317,62317,62589,62589,62589
274,United Kingdom,1403,1403,1403,1403,1403,1403,1403
275,United Kingdom,4,4,4,4,4,4,4
276,United Kingdom,2115,2159,2159,2159,2159,2159,2159
277,United Kingdom,6431,6431,6431,6431,6431,6431,6431
278,United Kingdom,23954192,23954192,23954192,23977633,23977633,23977633,23977633
279,Uruguay,992035,992035,992035,992035,992035,992035,992035
280,Uzbekistan,245047,245068,245116,245177,245246,245246,245246
281,Vanuatu,11981,11981,11981,11981,11981,11981,11981
282,Venezuela,546461,546489,546534,546534,546733,546733,546839
283,Vietnam,11508893,11509473,11509975,11510484,11510919,11511178,11511452
284,West Bank and Gaza,703036,703036,703036,703036,703036,703036,703036
285,Winter Olympics 2022,535,535,535,535,535,535,535
286,Yemen,11945,11945,11945,11945,11945,11945,11945
287,Zambia,333685,333685,333685,333685,333685,333685,333685
288,Zimbabwe,257893,257893,257893,257893,257893,257893,257893
